timestamp,smoke,voc,co,flame,temp,hum,label,scenario,filename,humid
3478131,97,508,241,1,22.5,55.96,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3478231,97,507,241,1,22.52,55.96,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3478331,97,507,241,1,22.52,55.97,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3478431,98,507,239,1,22.51,55.96,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3478531,96,508,240,1,22.51,55.99,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3478631,95,507,241,1,22.51,55.98,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3478731,98,507,240,1,22.52,55.98,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3478831,97,508,241,1,22.51,55.97,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3478931,95,507,241,0,22.51,55.98,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3479031,98,507,241,2,22.51,55.98,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3479131,97,508,241,0,22.5,55.96,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3479231,95,508,240,0,22.51,55.98,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3479331,97,507,240,1,22.51,56.0,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3479431,96,507,240,2,22.51,55.96,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3479531,96,507,239,2,22.51,55.96,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3479631,97,508,241,0,22.51,55.97,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3479731,98,507,241,2,22.51,55.97,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3479831,96,507,240,1,22.52,55.99,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3479931,96,507,241,0,22.52,55.94,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3480031,97,507,241,1,22.51,55.96,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3480131,97,507,241,1,22.53,55.97,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3480231,97,507,241,0,22.51,55.94,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3480331,98,507,240,2,22.51,55.96,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3480431,96,508,240,2,22.51,55.95,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3480531,97,508,241,0,22.51,55.95,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
